order,rent,number of beds,number of baths,size,address,contact,link,walk_score,transit_score,bike_score,school1_names,school1_info,school1_score,school2_names,school2_info,school2_score,school3_names,school3_info,school3_score
1,"$2,978+/mo",3 beds,2.5 baths,"1,523  sqft","The Amberleigh | 8301 Anderson Dr, Fairfax, VA 22031",(571) 582-0963,https://www.redfin.com/VA/Fairfax/The-Amberleigh/apartment/9834810,58,42,41,Jackson Middle School,"Public, 7-8 • Assigned • 0.5mi",4,Falls Church High School,"Public, 9-12 • Assigned • 1.3mi",3,N/A,N/A,N/A
2,"$4,700/mo",5 beds,3 baths,"2,472  sqft","1603 Mary Ellen Ct, Mc Lean, VA 22101",(703) 214-5100,https://www.redfin.com/VA/Mc-Lean/1603-Mary-Ellen-Ct-22101/home/9398835,32,35,40,Longfellow Middle School,"Public, 7-8 • Assigned • 1.5mi",6,McLean High School,"Public, 9-12 • Assigned • 0.4mi",6,N/A,N/A,N/A
3,"$4,200/mo",4 beds,3 baths,"1,536  sqft","6476 Old Dominion Dr, Mc Lean, VA 22101",(703) 790-1990,https://www.redfin.com/VA/Mc-Lean/6476-Old-Dominion-Dr-22101/home/9410647,32,30,45,Longfellow Middle School,"Public, 7-8 • Assigned • 1.2mi",6,McLean High School,"Public, 9-12 • Assigned • 1.2mi",6,N/A,N/A,N/A
4,"$2,900/mo",3 beds,2 baths,"1,700  sqft","5410 8th St S, Arlington, VA 22204",(703) 518-8300,https://www.redfin.com/VA/Arlington/5410-8th-St-S-22204/home/11259775,60,59,62,Kenmore Middle School,"Public, 6-8 • Assigned • 0.8mi",6,Washington Liberty High School,"Public, 9-12 • Assigned • 2.2mi",5,N/A,N/A,N/A
5,"$3,870/mo",4 beds,3 baths,"1,680  sqft","1515 Crestwood Ln, Mc Lean, VA 22101",(703) 765-0300,https://www.redfin.com/VA/Mc-Lean/1515-Crestwood-Ln-22101/home/9415880,4,19,15,Longfellow Middle School,"Public, 7-8 • Assigned • 2.4mi",6,McLean High School,"Public, 9-12 • Assigned • 2.6mi",6,N/A,N/A,N/A
6,"$4,100/mo",4 beds,3.5 baths,"2,616  sqft","13604 Springhaven Dr, Chantilly, VA 20151",(703) 378-8810,https://www.redfin.com/VA/Chantilly/13604-Springhaven-Dr-20151/home/9431837,41,30,49,Franklin Middle School,"Public, 7-8 • Assigned • 0.7mi",5,Chantilly High School,"Public, 9-12 • Assigned • 1.3mi",6,N/A,N/A,N/A
7,"$4,975/mo",4 beds,3 baths,"2,374  sqft","2123 Grayson Pl, Falls Church, VA 22043",(301) 519-8100,https://www.redfin.com/VA/Falls-Church/2123-Grayson-Pl-22043/home/9474066,20,50,34,Longfellow Middle School,"Public, 7-8 • Assigned • 0.6mi",6,McLean High School,"Public, 9-12 • Assigned • 1.4mi",6,N/A,N/A,N/A
8,"$3,000/mo",3 beds,2.5 baths,"1,600  sqft","3018 Talking Rock Dr, Fairfax, VA 22031",(703) 609-2323,https://www.redfin.com/VA/Fairfax/3018-Talking-Rock-Dr-22031/home/9537766,N/A,N/A,N/A,Jackson Middle School,"Public, 7-8 • Assigned • 1.6mi",4,Falls Church High School,"Public, 9-12 • Assigned • 2.8mi",3,N/A,N/A,N/A
9,"$4,000/mo",3 beds,2 baths,"2,254  sqft","1955 Kirby Rd, Mc Lean, VA 22101",(703) 636-7300,https://www.redfin.com/VA/Mc-Lean/1955-Kirby-Rd-22101/home/9474664,17,20,25,Longfellow Middle School,"Public, 7-8 • Assigned • 0.3mi",6,McLean High School,"Public, 9-12 • Assigned • 1.2mi",6,N/A,N/A,N/A
10,"$4,500/mo",4 beds,3 baths,"2,204  sqft","2226 Westwood Pl, Falls Church, VA 22043",(866) 825-7169,https://www.redfin.com/VA/Falls-Church/2226-Westwood-Pl-22043/home/9480975,44,49,31,Longfellow Middle School,"Public, 7-8 • Assigned • 0.7mi",6,McLean High School,"Public, 9-12 • Assigned • 1.6mi",6,N/A,N/A,N/A
11,"$3,950/mo",6 beds,3.5 baths,"3,500  sqft","12421 Alexander Cornell Dr, Fairfax, VA 22033",(703) 204-1188,https://www.redfin.com/VA/Fairfax/12421-Alexander-Cornell-Dr-22033/home/9498873,30,34,48,Franklin Middle School,"Public, 7-8 • Assigned • 3.0mi",5,Oakton High School,"Public, 9-12 • Assigned • 5.1mi",6,N/A,N/A,N/A
12,"$4,500/mo",4 beds,3.5 baths,"3,664  sqft","4100 John Trammell Ct, Fairfax, VA 22030",(703) 815-5700,https://www.redfin.com/VA/Fairfax/4100-John-Trammell-Ct-22030/home/12029494,86,40,73,Johnson Middle School,"Public, 7-8 • Assigned • 1.8mi",5,Fairfax High School,"Public, 9-12 • Assigned • 1.4mi",5,N/A,N/A,N/A
13,"$2,800/mo",3 beds,2 baths,"1,500  sqft","4210 Mozart Brigade Ln Unit Y, Fairfax, VA 22033",(703) 378-8810,https://www.redfin.com/VA/Fairfax/4210-Mozart-Brigade-Ln-22033/unit-Y/home/9517027,53,48,72,Johnson Middle School,"Public, 7-8 • Assigned • 2.4mi",5,Fairfax High School,"Public, 9-12 • Assigned • 4.7mi",5,N/A,N/A,N/A
14,"$3,850/mo",4 beds,3 baths,"3,626  sqft","8804 Delfield Ln, Fairfax, VA 22031",(571) 263-9814,https://www.redfin.com/VA/Fairfax/8804-Delfield-Ln-22031/home/9530788,N/A,N/A,N/A,Jackson Middle School,"Public, 7-8 • Assigned • 1.3mi",4,Falls Church High School,"Public, 9-12 • Assigned • 2.6mi",3,N/A,N/A,N/A
15,"$3,200/mo",4 beds,3.5 baths,"1,953  sqft","3061 White Birch Ct, Fairfax, VA 22031",(703) 378-8810,https://www.redfin.com/VA/Fairfax/3061-White-Birch-Ct-22031/home/9534119,75,57,71,Thoreau Middle School,"Public, 7-8 • Assigned • 2.1mi",6,Oakton High School,"Public, 9-12 • Assigned • 0.8mi",6,N/A,N/A,N/A
16,"$4,050/mo",3 beds,3.5 baths,"1,504  sqft","4311 11th St N, Arlington, VA 22201",(703) 538-6030,https://www.redfin.com/VA/Arlington/4311-11th-St-N-22201/home/11244403,75,73,85,Swanson Middle School,"Public, 6-8 • Assigned • 1.4mi",6,Washington Liberty High School,"Public, 9-12 • Assigned • 0.3mi",5,N/A,N/A,N/A
17,"$3,375/mo",3 beds,3 baths,"1,564  sqft","2919 Espana Ct, Fairfax, VA 22031",(703) 765-0300,https://www.redfin.com/VA/Fairfax/2919-Espana-Ct-22031/home/9536603,N/A,N/A,N/A,Jackson Middle School,"Public, 7-8 • Assigned • 1.3mi",4,Falls Church High School,"Public, 9-12 • Assigned • 2.6mi",3,N/A,N/A,N/A
18,"$3,000/mo",3 beds,2.5 baths,"1,680  sqft","13101 Quail Creek Ln, Fairfax, VA 22033",(703) 968-7000,https://www.redfin.com/VA/Fairfax/13101-Quail-Creek-Ln-22033/home/9601235,N/A,N/A,N/A,Rocky Run Middle School,"Public, 7-8 • Assigned • 1.5mi",8,Chantilly High School,"Public, 9-12 • Assigned • 1.9mi",6,N/A,N/A,N/A
19,"$2,800/mo",3 beds,2.5 baths,"1,602  sqft","11708 Tumbrel Ct #56, Fairfax, VA 22030",(703) 717-8509,https://www.redfin.com/VA/Fairfax/11708-Tumbrel-Ct-22030/unit-56/home/9609870,57,40,63,Johnson Middle School,"Public, 7-8 • Assigned • 1.4mi",5,Fairfax High School,"Public, 9-12 • Assigned • 3.6mi",5,N/A,N/A,N/A
20,"$4,200/mo",3 beds,3.5 baths,"1,800  sqft","9319 Lemon Mint Ct, Fairfax, VA 22031",(703) 854-1285,https://www.redfin.com/VA/Fairfax/9319-Lemon-Mint-Ct-22031/home/109701857,N/A,N/A,N/A,Thoreau Middle School,"Public, 7-8 • Assigned • 1.9mi",6,Oakton High School,"Public, 9-12 • Assigned • 1.0mi",6,N/A,N/A,N/A
21,"$3,700/mo",4 beds,2.5 baths,"1,736  sqft","10025 Cotton Farm Rd, Fairfax, VA 22032",(703) 349-0144,https://www.redfin.com/VA/Fairfax/10025-Cotton-Farm-Rd-22032/home/9615743,N/A,N/A,N/A,Frost Middle School,"Public, 7-8 • Assigned • 1.1mi",7,Woodson High School,"Public, 9-12 • Assigned • 1.0mi",8,N/A,N/A,N/A
