order,rent,number of beds,number of baths,size,address,contact,link,walk_score,transit_score,bike_score,school1_names,school1_info,school1_score,school2_names,school2_info,school2_score,school3_names,school3_info,school3_score,rent/size,average transit score,total school score,rent/size Normalized,total school score Normalized,average transit score Normalized,final score,final score without transit
1,2978.0,3.0,2.5,1523.0,"The Amberleigh | 8301 Anderson Dr, Fairfax, VA 22031",(571) 582-0963,https://www.redfin.com/VA/Fairfax/The-Amberleigh/apartment/9834810,58.0,42.0,41.0,Jackson Middle School,"Public, 7-8 • Assigned • 0.5mi",4.0,Falls Church High School,"Public, 9-12 • Assigned • 1.3mi",3.0,,,0.0,1.9553512803676953,47.0,7.0,0.5917047504076975,0.0,0.5150000000000001,0.3731023752038488,0.17751142512230925
2,4700.0,5.0,3.0,2472.0,"1603 Mary Ellen Ct, Mc Lean, VA 22101",(703) 214-5100,https://www.redfin.com/VA/Mc-Lean/1603-Mary-Ellen-Ct-22101/home/9398835,32.0,35.0,40.0,Longfellow Middle School,"Public, 7-8 • Assigned • 1.5mi",6.0,McLean High School,"Public, 9-12 • Assigned • 0.4mi",6.0,,,0.0,1.901294498381877,35.666666666666664,12.0,0.6164045482913528,0.5555555555555556,0.34500000000000003,0.5543967185901209,0.5738102533762948
3,4200.0,4.0,3.0,1536.0,"6476 Old Dominion Dr, Mc Lean, VA 22101",(703) 790-1990,https://www.redfin.com/VA/Mc-Lean/6476-Old-Dominion-Dr-22101/home/9410647,32.0,30.0,45.0,Longfellow Middle School,"Public, 7-8 • Assigned • 1.2mi",6.0,McLean High School,"Public, 9-12 • Assigned • 1.2mi",6.0,,,0.0,2.734375,35.666666666666664,12.0,0.23575073844784333,0.5555555555555556,0.34500000000000003,0.3640698136683661,0.4596141104232419
4,2900.0,3.0,2.0,1700.0,"5410 8th St S, Arlington, VA 22204",(703) 518-8300,https://www.redfin.com/VA/Arlington/5410-8th-St-S-22204/home/11259775,60.0,59.0,62.0,Kenmore Middle School,"Public, 6-8 • Assigned • 0.8mi",6.0,Washington Liberty High School,"Public, 9-12 • Assigned • 2.2mi",5.0,,,0.0,1.7058823529411764,60.333333333333336,11.0,0.7056928913833074,0.4444444444444444,0.7150000000000002,0.6156520012472092,0.5228189785261033
5,3870.0,4.0,3.0,1680.0,"1515 Crestwood Ln, Mc Lean, VA 22101",(703) 765-0300,https://www.redfin.com/VA/Mc-Lean/1515-Crestwood-Ln-22101/home/9415880,4.0,19.0,15.0,Longfellow Middle School,"Public, 7-8 • Assigned • 2.4mi",6.0,McLean High School,"Public, 9-12 • Assigned • 2.6mi",6.0,,,0.0,2.3035714285714284,12.666666666666666,12.0,0.4325948854900058,0.5555555555555556,0.0,0.4107418871894474,0.5186673545358906
6,4100.0,4.0,3.5,2616.0,"13604 Springhaven Dr, Chantilly, VA 20151",(703) 378-8810,https://www.redfin.com/VA/Chantilly/13604-Springhaven-Dr-20151/home/9431837,41.0,30.0,49.0,Franklin Middle School,"Public, 7-8 • Assigned • 0.7mi",5.0,Chantilly High School,"Public, 9-12 • Assigned • 1.3mi",6.0,,,0.0,1.5672782874617737,40.0,11.0,0.7690243047125787,0.4444444444444444,0.4100000000000001,0.6015677079118449,0.5418184025248847
7,4975.0,4.0,3.0,2374.0,"2123 Grayson Pl, Falls Church, VA 22043",(301) 519-8100,https://www.redfin.com/VA/Falls-Church/2123-Grayson-Pl-22043/home/9474066,20.0,50.0,34.0,Longfellow Middle School,"Public, 7-8 • Assigned • 0.6mi",6.0,McLean High School,"Public, 9-12 • Assigned • 1.4mi",6.0,,,0.0,2.0956192080876157,34.666666666666664,12.0,0.5276130798167601,0.5555555555555556,0.33000000000000007,0.5077509843528245,0.5471728128339169
8,3000.0,3.0,2.5,1600.0,"3018 Talking Rock Dr, Fairfax, VA 22031",(703) 609-2323,https://www.redfin.com/VA/Fairfax/3018-Talking-Rock-Dr-22031/home/9537766,,,,Jackson Middle School,"Public, 7-8 • Assigned • 1.6mi",4.0,Falls Church High School,"Public, 9-12 • Assigned • 2.8mi",3.0,,,0.0,1.875,,7.0,0.6284191146718459,0.0,,,0.18852573440155376
9,4000.0,3.0,2.0,2254.0,"1955 Kirby Rd, Mc Lean, VA 22101",(703) 636-7300,https://www.redfin.com/VA/Mc-Lean/1955-Kirby-Rd-22101/home/9474664,17.0,20.0,25.0,Longfellow Middle School,"Public, 7-8 • Assigned • 0.3mi",6.0,McLean High School,"Public, 9-12 • Assigned • 1.2mi",6.0,,,0.0,1.774622892635315,20.666666666666668,12.0,0.6742837439186279,0.5555555555555556,0.12000000000000004,0.5495863164037584,0.5911740120644773
10,4500.0,4.0,3.0,2204.0,"2226 Westwood Pl, Falls Church, VA 22043",(866) 825-7169,https://www.redfin.com/VA/Falls-Church/2226-Westwood-Pl-22043/home/9480975,44.0,49.0,31.0,Longfellow Middle School,"Public, 7-8 • Assigned • 0.7mi",6.0,McLean High School,"Public, 9-12 • Assigned • 1.6mi",6.0,,,0.0,2.041742286751361,41.333333333333336,12.0,0.5522306951966064,0.5555555555555556,0.43000000000000016,0.5350597920427477,0.5545580974478708
11,3950.0,6.0,3.5,3500.0,"12421 Alexander Cornell Dr, Fairfax, VA 22033",(703) 204-1188,https://www.redfin.com/VA/Fairfax/12421-Alexander-Cornell-Dr-22033/home/9498873,30.0,34.0,48.0,Franklin Middle School,"Public, 7-8 • Assigned • 3.0mi",5.0,Oakton High School,"Public, 9-12 • Assigned • 5.1mi",6.0,,,0.0,1.1285714285714286,37.333333333333336,11.0,0.9694796471635511,0.4444444444444444,0.3700000000000001,0.6957953791373311,0.6019550052601763
12,4500.0,4.0,3.5,3664.0,"4100 John Trammell Ct, Fairfax, VA 22030",(703) 815-5700,https://www.redfin.com/VA/Fairfax/4100-John-Trammell-Ct-22030/home/12029494,86.0,40.0,73.0,Johnson Middle School,"Public, 7-8 • Assigned • 1.8mi",5.0,Fairfax High School,"Public, 9-12 • Assigned • 1.4mi",5.0,,,0.0,1.2281659388646289,66.33333333333333,10.0,0.9239726046760972,0.3333333333333333,0.805,0.6994029690047153,0.5105251147361625
13,2800.0,3.0,2.0,1500.0,"4210 Mozart Brigade Ln Unit Y, Fairfax, VA 22033",(703) 378-8810,https://www.redfin.com/VA/Fairfax/4210-Mozart-Brigade-Ln-22033/unit-Y/home/9517027,53.0,48.0,72.0,Johnson Middle School,"Public, 7-8 • Assigned • 2.4mi",5.0,Fairfax High School,"Public, 9-12 • Assigned • 4.7mi",5.0,,,0.0,1.8666666666666667,57.666666666666664,10.0,0.6322268080170483,0.3333333333333333,0.675,0.5340300706751908,0.4230013757384478
14,3850.0,4.0,3.0,3626.0,"8804 Delfield Ln, Fairfax, VA 22031",(571) 263-9814,https://www.redfin.com/VA/Fairfax/8804-Delfield-Ln-22031/home/9530788,,,,Jackson Middle School,"Public, 7-8 • Assigned • 1.3mi",4.0,Falls Church High School,"Public, 9-12 • Assigned • 2.6mi",3.0,,,0.0,1.0617760617760619,,7.0,1.0,0.0,,,0.3
15,3200.0,4.0,3.5,1953.0,"3061 White Birch Ct, Fairfax, VA 22031",(703) 378-8810,https://www.redfin.com/VA/Fairfax/3061-White-Birch-Ct-22031/home/9534119,75.0,57.0,71.0,Thoreau Middle School,"Public, 7-8 • Assigned • 2.1mi",6.0,Oakton High School,"Public, 9-12 • Assigned • 0.8mi",6.0,,,0.0,1.638504864311316,67.66666666666667,12.0,0.7364792291919922,0.5555555555555556,0.8250000000000002,0.6864340590404405,0.6098326576464865
16,4050.0,3.0,3.5,1504.0,"4311 11th St N, Arlington, VA 22201",(703) 538-6030,https://www.redfin.com/VA/Arlington/4311-11th-St-N-22201/home/11244403,75.0,73.0,85.0,Swanson Middle School,"Public, 6-8 • Assigned • 1.4mi",6.0,Washington Liberty High School,"Public, 9-12 • Assigned • 0.3mi",5.0,,,0.0,2.69281914893617,77.66666666666667,11.0,0.25473857095383956,0.4444444444444444,0.9750000000000001,0.4291748410324754,0.3875326823972629
17,3375.0,3.0,3.0,1564.0,"2919 Espana Ct, Fairfax, VA 22031",(703) 765-0300,https://www.redfin.com/VA/Fairfax/2919-Espana-Ct-22031/home/9536603,,,,Jackson Middle School,"Public, 7-8 • Assigned • 1.3mi",4.0,Falls Church High School,"Public, 9-12 • Assigned • 2.6mi",3.0,,,0.0,2.1579283887468033,,7.0,0.49914256951183944,0.0,,,0.14974277085355184
18,3000.0,3.0,2.5,1680.0,"13101 Quail Creek Ln, Fairfax, VA 22033",(703) 968-7000,https://www.redfin.com/VA/Fairfax/13101-Quail-Creek-Ln-22033/home/9601235,,,,Rocky Run Middle School,"Public, 7-8 • Assigned • 1.5mi",8.0,Chantilly High School,"Public, 9-12 • Assigned • 1.9mi",6.0,,,0.0,1.7857142857142858,,14.0,0.6692158290847292,0.7777777777777778,,,0.7452091931698631
19,2800.0,3.0,2.5,1602.0,"11708 Tumbrel Ct #56, Fairfax, VA 22030",(703) 717-8509,https://www.redfin.com/VA/Fairfax/11708-Tumbrel-Ct-22030/unit-56/home/9609870,57.0,40.0,63.0,Johnson Middle School,"Public, 7-8 • Assigned • 1.4mi",5.0,Fairfax High School,"Public, 9-12 • Assigned • 3.6mi",5.0,,,0.0,1.7478152309612984,53.333333333333336,10.0,0.6865327865134189,0.3333333333333333,0.6100000000000002,0.5514330599233761,0.43929316928735895
20,4200.0,3.0,3.5,1800.0,"9319 Lemon Mint Ct, Fairfax, VA 22031",(703) 854-1285,https://www.redfin.com/VA/Fairfax/9319-Lemon-Mint-Ct-22031/home/109701857,,,,Thoreau Middle School,"Public, 7-8 • Assigned • 1.9mi",6.0,Oakton High School,"Public, 9-12 • Assigned • 1.0mi",6.0,,,0.0,2.3333333333333335,,12.0,0.4189959806857111,0.5555555555555556,,,0.5145876830946022
